co-imf0,co-imf1,co-imf2
-25.519223486445064,-206.22457610562253,7631.483860023986
-101.37554452261926,-146.03552648264588,7627.679781673694
-146.82304168043902,-81.38849766392673,7623.92817644304
-153.7750168857459,-13.234261206229235,7620.229417002395
-104.93079378812061,56.92111170294072,7616.583876022135
20.166517765753436,127.85333455845796,7612.9919261726445
111.74825623948772,198.21840453024345,7609.453940124291
175.41191114701456,266.71318730107043,7605.97029054746
186.73164998624497,332.0409813172533,7602.541350112517
116.51078370421308,392.89146816250803,7599.167491489846
50.76960377051283,449.00181303513983,7595.849087349815
-24.889239758792776,500.14465773585533,7592.586510362813
-50.78997976287877,547.6973039884132,7589.380133199207
-6.195490373246078,591.7054776564898,7586.2303285293765
3.3376193384066895,633.3300624939236,7583.137469023697
-5.137859222329986,673.0928278658847,7580.101927352542
-8.995702867233703,711.7770031198745,7577.124076186297
-24.860762950099254,750.0887940980003,7574.204288195329
-24.092005325944527,789.380244584879,7571.342936050021
-6.086653936920947,830.4371766135519,7568.540392420742
17.565871262905606,874.1241606678002,7565.797029977874
53.29224569608546,921.0301822430192,7563.113221391792
73.2342967114734,970.2948138188473,7560.489339332875
74.9640529604326,1022.0391658264555,7557.925756471489
67.7892067539804,1074.9019743742822,7555.422845478023
43.75791187449266,1128.5977367105859,7552.980979022846
-6.699928993231659,1182.1031614330755,7550.60052977634
-86.60326811555963,1234.7735040758537,7548.281870408875
-177.8981921319887,1285.548577435493,7546.025373590832
-283.50064413453504,1333.651128520445,7543.831411992582
-331.7063367943704,1378.6360288167525,7541.700358284505
-311.8681985458466,1419.6868771431205,7539.6325851369775
-287.76579197339487,1456.9184635320062,7537.628465220378
-239.8958651460404,1489.7162659138746,7535.68837120508
-49.70916053795278,1517.93412002955,7533.81267576146
288.7047034834717,1541.2011698706706,7532.001751559894
503.8400900382035,1559.1866816863667,7530.255971270758
605.2995356346502,1571.5757995866802,7528.575707564428
492.3346134230051,1578.5955418365816,7526.961333111286
116.4897483949428,1580.2300204882895,7525.4132205817
-161.26601526130366,1577.768095956713,7523.93174264605
-359.25534622090413,1571.397230796536,7522.517271974713
-198.2674403626503,1562.1437158283893,7521.170181238064
112.57508507800978,1550.58460903382,7519.8908431064865
285.75453678178144,1537.4532035207408,7518.679630250345
255.42987728225907,1523.4508329361272,7517.536915340023
185.83097349719782,1509.2834755590952,7516.463071045893
-59.71909342791821,1495.6561985761907,7515.4584700383375
-194.4352469787007,1483.3266598683967,7514.523484987725
-223.67317699890248,1473.0054238933708,7513.658488564441
-326.9690297077095,1465.261455845019,7512.863853438852
-451.6336705283005,1460.803713076351,7512.139952281339
-521.3915720756461,1460.424872607492,7511.487157762279
-548.9897514979656,1464.8032823476242,7510.905842552052
-457.0629574156819,1473.4867552457426,7510.396379321027
-221.08096465092265,1486.5165088159863,7509.95914073958
-100.65706439259817,1502.7340333579577,7509.594499478093
-87.39043817625159,1521.9722668622144,7509.302828206942
-89.52208707264937,1543.3903247436203,7509.084499596498
-108.0513091123917,1566.483033807367,7508.939886317143
-57.68826345445932,1590.5820299959282,7508.869361039249
95.92256882320189,1615.086649698661,7508.8732964331975
185.63784146013987,1639.5471343292088,7508.952065169359
237.74524010611515,1663.363739808886,7509.1060399181115
260.2098173172378,1685.7979048492716,7509.335593349835
223.50145795703094,1706.2776606548,7509.641098134905
188.23821126746788,1724.6055116483058,7510.022926943695
147.2628933118235,1740.1999880363226,7510.481452446577
81.95635010505438,1753.3623404962086,7511.017047313937
1.9793530720355867,1763.6944214839048,7511.630084216146
-63.057814082983086,1771.241985599441,7512.320935823586
-110.15375190667108,1775.8231576241974,7513.089974806629
-134.65374929886207,1777.39949027046,7513.937566261433
-125.60984036905194,1775.847128338605,7514.864040644339
-105.24341028711595,1772.3821693755835,7515.869681605615
-68.15294623811383,1767.4145093908228,7516.9546810135835
-33.412943157623666,1762.257518528741,7518.11920887677
-5.640829143756706,1757.6055734650301,7519.363435203764
24.63404780220536,1754.6549199456372,7520.687519223813
50.64662781942015,1754.312431368785,7522.091479514213
70.18048142057378,1757.5780848735242,7523.574933733325
81.59547702659427,1765.4327202734935,7525.137402004645
91.58051239490375,1778.4832850677558,7526.778404451629
98.95524086546413,1797.4295215267823,7528.497461197781
117.0904125912906,1821.438843493418,7530.294092366552
148.49147257893097,1850.966719220684,7532.167818081431
112.10310880968612,1885.3399764201677,7534.118158465892
4.710462869969945,1924.526232671085,7536.144633643411
-73.67659545507988,1967.7801469689616,7538.246763737471
-137.23728949084443,2014.8384997589355,7540.424068871546
-248.02671361148617,2064.8083175395036,7542.676069169113
-392.5907384192785,2117.2368291991675,7545.002284753649
-345.72482781816683,2171.66463681794,7547.402235748627
-94.64832056983445,2227.5234261549945,7549.875442277527
135.35052790088287,2284.441309942964,7552.421424463832
392.2134813037194,2341.9060841277924,7555.039702431011
475.5151889447177,2399.6377306747218,7557.729796302547
329.3098543647974,2457.1847556026055,7560.4912262019125
264.07022066194514,2513.990876800861,7563.323512252584
225.78480256864466,2569.6391609966677,7566.226174578041
142.54703372080175,2623.966601064528,7569.198733301761
60.73812365946384,2676.541690773892,7572.240708547217
-38.46407361011643,2727.1669121747127,7575.351620437892
-153.21547146084617,2775.510891369964,7578.5309890972585
-213.49164517130254,2821.14483842544,7581.778334648798
-214.18363656017647,2863.760324277907,7585.093177215981
-238.13245993383063,2902.932219848582,7588.475036922291
-271.20809073779856,2938.3052389414556,7591.923433891202
-315.51900745053354,2969.678025913122,7595.437888246193
-386.2448160530771,2996.693686928228,7599.017920110737
-433.6758389862224,3019.2016280206,7602.663049608314
-461.2947572665874,3036.9099291414254,7606.372796862399
-218.2180333121028,3049.446183777539,7610.146681996473
-106.18781446756374,3056.5468737284095,7613.984225134007
119.1539298077835,3057.8668937303346,7617.884946398485
324.1042370851628,3053.156854542972,7621.848365913376
477.348627105059,3042.0085104859436,7625.874003802165
549.5284271002344,3024.2154508767785,7629.961380188332
549.672789866207,2999.442124317189,7634.110015195342
447.02544662210187,2967.414875791108,7638.319428946678
359.2564183280662,2929.171143382222,7642.589141565815
282.1206421675949,2884.9652505301037,7646.918673176236
175.00725844413915,2836.0854187115265,7651.307543901409
62.9343855978362,2783.0895157483483,7655.755273864821
-31.30913681300597,2726.8972730968444,7660.261383189941
-102.70514263689981,2668.296110716603,7664.825392000252
-173.67692162962018,2608.150765642817,7669.446820419227
-236.12203988580336,2547.283265834937,7674.125188570342
-291.7900132624757,2486.4168441046077,7678.860016577078
-342.30401279252135,2426.3737572597843,7683.650824562909
-396.12049518757414,2367.7480752036518,7688.497132651316
-455.15408242681247,2311.3107570546813,7693.398460965772
-319.12577861999546,2256.7503515248045,7698.354329629756
-262.7689585614949,2204.679104247901,7703.364258766742
-156.5950521797603,2155.1088031656877,7708.427768500213
-87.82777237754007,2108.3378742825576,7713.544378953637
-100.3839832696487,2064.578055586886,7718.713610250503
-224.8164037865074,2024.0528164272664,7723.934982514279
-194.27366555787523,1986.9453679428182,7729.208015868445
-15.054903334854094,1953.4751902496782,7734.532230436478
72.83217345469461,1923.74498334586,7739.907146341853
114.59981894979394,1897.9522085142485,7745.3322837080495
144.56061192350745,1876.2193551670134,7750.807162658545
124.36400558132692,1858.7105776383587,7756.331303316813
91.51776274231842,1844.614582723654,7761.904225806336
42.42538191085094,1833.95893073249,7767.5254502505895
-2.733042224990872,1825.8070893177232,7773.194496773046
-35.16591647603161,1819.8581707264345,7778.910885497185
-65.43448923883568,1815.5524513448645,7784.674136546486
-84.11188163131044,1812.4067788050666,7790.483770044422
-31.701945516393305,1810.5475811348192,7796.339306114476
100.73530333641574,1809.5423313306203,7802.240264880117
115.89617602565232,1809.7026549830323,7808.186166464826
15.70699323543527,1810.8272115362847,7814.176530992085
-46.418470459763036,1812.602297047034,7820.2108785853625
-108.56936106478753,1814.4854353186304,7826.288729368142
-152.2638975075174,1815.0148330049428,7832.409603463898
-154.1659239934416,1813.6333039812137,7838.573020996104
-143.74362718951232,1809.4457593675115,7844.778502088243
-107.28444560568396,1801.6024465993116,7851.025566863793
-59.40434564927499,1789.5141118582108,7857.3137354462215
-0.9863434032398072,1772.323242237344,7863.642527959013
56.7296935878962,1749.3558134707707,7870.0114645256435
108.6107752515936,1719.8482080652432,7876.420065269593
105.5310330591171,1683.347043753587,7882.867850314335
36.31030686833472,1639.2925793961658,7889.354339783344
3.722432643728844,1588.3273087308078,7895.879053800102
-2.057830389803023,1530.020344097049,7902.441512488082
-9.80662034388742,1465.9086696816084,7909.041235970764
0.24840303095434357,1396.3638224469642,7915.677744371625
