Date,Open,High,Low,Close,Volume
2021-06-15,154.0,154.0,151.0,154.0,800
2021-06-16,154.0,154.0,145.0,153.0,15300
2021-06-17,149.0,156.0,149.0,150.0,10800
2021-06-18,148.0,150.0,140.0,150.0,25000
2021-06-21,199.0,199.0,144.0,144.0,881500
2021-06-22,268.0,268.0,214.0,230.0,2173400
2021-06-23,334.0,334.0,294.0,304.0,3682700
2021-06-24,312.0,416.0,312.0,376.0,2071200
2021-06-25,292.0,292.0,292.0,292.0,20100
2021-06-28,272.0,272.0,272.0,272.0,128200
2021-06-29,254.0,254.0,254.0,254.0,5900
2021-06-30,238.0,238.0,238.0,238.0,101100
2021-07-01,296.0,296.0,222.0,222.0,1873600
2021-07-02,370.0,370.0,350.0,350.0,2260400
2021-07-05,346.0,446.0,346.0,412.0,3975700
2021-07-06,322.0,322.0,322.0,322.0,51500
2021-07-07,300.0,300.0,300.0,300.0,110200
2021-07-08,284.0,312.0,280.0,288.0,2209700
2021-07-09,290.0,350.0,268.0,282.0,3203000
2021-07-12,276.0,300.0,270.0,292.0,572400
2021-07-13,260.0,300.0,258.0,276.0,777100
2021-07-14,274.0,274.0,244.0,270.0,249900
2021-07-15,258.0,284.0,256.0,274.0,228100
2021-07-16,254.0,270.0,242.0,242.0,143400
2021-07-19,248.0,254.0,238.0,254.0,274800
2021-07-21,242.0,262.0,234.0,238.0,202700
2021-07-22,242.0,298.0,228.0,242.0,2209800
2021-07-23,256.0,260.0,244.0,244.0,219400
2021-07-26,258.0,270.0,256.0,256.0,184300
2021-07-27,258.0,270.0,256.0,260.0,109300
2021-07-28,256.0,268.0,248.0,260.0,78800
2021-07-29,242.0,254.0,242.0,254.0,248900
2021-07-30,240.0,258.0,234.0,242.0,47800
2021-08-02,242.0,250.0,242.0,242.0,77000
2021-08-03,246.0,278.0,246.0,258.0,117800
2021-08-04,250.0,260.0,240.0,258.0,40800
2021-08-05,260.0,260.0,242.0,250.0,108800
2021-08-06,258.0,260.0,248.0,260.0,27700
2021-08-09,242.0,262.0,240.0,262.0,25700
2021-08-10,232.0,242.0,226.0,242.0,116700
2021-08-12,228.0,232.0,220.0,232.0,14900
2021-08-13,226.0,250.0,220.0,228.0,74300
2021-08-16,282.0,282.0,218.0,226.0,322900
2021-08-18,286.0,352.0,282.0,290.0,10270400
2021-08-19,266.0,300.0,266.0,290.0,350900
2021-08-20,248.0,268.0,248.0,248.0,584400
2021-08-23,266.0,288.0,244.0,248.0,333900
2021-08-24,290.0,306.0,268.0,268.0,673200
2021-08-25,310.0,354.0,292.0,296.0,1984400
2021-08-26,328.0,338.0,300.0,314.0,1114800
2021-08-27,410.0,410.0,324.0,328.0,11266700
2021-08-30,382.0,410.0,382.0,410.0,137600
2021-08-31,356.0,356.0,356.0,356.0,89000
2021-09-01,332.0,332.0,332.0,332.0,200900
2021-09-02,310.0,336.0,310.0,310.0,2429700
2021-09-03,290.0,310.0,290.0,290.0,1084200
